"Alle Ids befinden sich im Ordner ""Bezeichnung""",,
,,
Edgelist,,
,,
from,<- Id ,
to ,,
relation,1,Mitglied der Organisation
,2,Angestellt / Mitarbeiter 
,3,a sympatisiert mit b
,4,a hat post von b geteilt
,5,Gründungsmitglied
,6,a hat Veranstaltung von b besucht
,7,gemeinsamer Stammtisch/Versammlung
,8,a war aktiv für b
,9,Bundesebene: Abgeordneter Partei / Vorstand Organisation oä
,10,Landesebene: Abgeordneter Partei / Vorstand Orga oä
,11,RedakteurIn / AutorIn
,12,GeschäftsführerIn / Chef
,13,Treffen mit Mitglied von b
,,
,,
,,
,,
,,
,,
,,
,,
Nodelist,,
,,
Id,"Bei Personen immer der Nachname. Bei Doppelung vom Nachname: Mit Zahl dahinter. Beispiel Mayer1, Mayer2. ",
,,
Name,Der volle Name einer Person / Orga,
,,
Sex,1,weiblich
,2,männlich
,,
Type,1,Person
,2,Organisation
,,
age,1, unter 20 Jahre
,2,20 bis 25 Jahre
,3,26 bis 30 Jahre
,4,31 bis 40 Jahre
,5,41 bis 60 Jahre
,6,über 60 Jahre 
