from,to,relation,source
Kubitschek,JF,11,1
Kubitschek,SZS,5,1
Kubitschek,VerlagA,12,1
Weissmann,JF,11,1
Menzel,BNA,5,1
Duke,IBDE,99,1
Krebs,IBDE,99,1
Willinger,IBDE,99,1
Gerber,IBDE,1,1
Altmieks,IBDE,12,1
Zeilinger,IBDE,99,1
Kohlmann,IBDE,99,1
Elbin,IBDE,1,1
Schueller,BNA,11,1
Schueller,IBB,1,1
Augener,IBDE,1,1
Hackmann,IBDE,13,1
Schibblock,IBDE,13,1
Dittmer,IBDE,1,1
EPL,IBDE,99,1
SZS,IBDE,99,1
Lichtmesz,SZS,11,1
Ulbricht,JF,11,1
JF,IBDE,99,1
VerlagA,IBDE,99,1
BNA,IBDE,99,1
IBB,IBDE,99,1
ASVerlag,IBDE,99,1
