from,to,relation,
Goetz Kubitschek,Junge Freiheit,11,
Goetz Kubitschek,Sezession,5,
Goetz Kubitschek,Verlag Antaios,12,
Karlheinz Weissmann,Junge Freiheit,11, 
Felix Menzel,Blaue Narzisse ,5,
David Duke,IB,NA,
Pierre Krebs,IB,NA,
Markus Willinger,IB,NA,
Arktos Verlag,IB,NA,
Tony Gerber,IB ,1,
Nils Altmieks,IB ,12,
Sebastian Zeilinger,IB ,NA,
Martin Kohlmann,IB,NA,
Maximilian Elbin,IB,1,
Johannes Schueller,Blauen Narzisse ,11,
Johannes Schueller,IBB ,1,
Nando Dragan Augener,IB,1,
Andreas Hackmann,IBDE,13,
Gerold Schibblock,IBDE,13,
Melanie Dittmer,IB,1,
Ein Prozent fuer unser Land,IB,NA,
Sezession,IB,NA,
Markus Lichtmesz,Sezession ,11,
Stefan Ulbricht,Junge Freiheit,11,
