from,to,relation,source
Kubitschek,NR,15,5
Kubitschek,IFS,5,5
Kubitschek,VerlagA,12,5
Kubitschek,SZS,11,5
Kubitschek,SZSDE,12,5
Kubitschek,KSA,5,5
Kubitschek,EPL,5,5
Kubitschek,IBDE,5,5
Kubitschek,Hoecke,3,5
Kubitschek,DG,16,5
Kubitschek,JF,11,5
Kubitschek,BUW,3,5
Kubitschek,Weissmann,3,5
Kubitschek,Stein,3,5
Kubitschek,Lichtmesz,3,5
Kubitschek,KleineHartlage,3,5
Kubitschek,DES,3,5
Kubitschek,NPD,17,5
Kubitschek,Schimmer,3,5
Kubitschek,DRB,3,5
Kubitschek,FPOE,3,5
Kubitschek,AFD,3,5
Kubitschek,AFD,16,5
Kubitschek,Poggenburg,3,5
Kubitschek,Menzel,3,5
Kubitschek,ZT,5,5
Kubitschek,Elsaesser,3,5
Kubitschek,PEGIDA,15,5
Kubitschek,PEGIDA,3,5
Kubitschek,PEGIDA,6,5
Kubitschek,CP,3,5
Kubitschek,CP,6,5
Kubitschek,Salvini,3,5
Kubitschek,LR,6,5
Kubitschek,CPO,3,5
Kubitschek,Schachtschneider,3,5
Kubitschek,Sellner,7,5
Kubitschek,Sellner,3,5
Kubitschek,PAPL,3,5
Kubitschek,Tillschneider,3,5
Kubitschek,Munier,3,5
Kubitschek,LUSR,3,5
Kubitschek,LUSR,6,5
Kubitschek,LUSR,8,5
Kubitschek,JLO,8,5
Kubitschek,JLO,3,5
Kubitschek,DB,8,5
Kubitschek,DBM,8,5
Kubitschek,DBM,3,5
Kubitschek,BTP,3,5
Kubitschek,BTP,8,5
Kubitschek,Paulwitz,3,5
Kubitschek,ARVerlag,8,5
Kubitschek,Kositza,3,5
Kubitschek,Riefenstahl,3,5
Kubitschek,Hoffmann,3,5
Kubitschek,Schmitt,3,5
Kubitschek,Lehnert,3,5
Kubitschek,Meuthen,3,5
Kubitschek,UB,3,5
Kubitschek,Wegner,3,5
Kubitschek,Nolte,3,5
Kubitschek,Lucke,17,5
Kubitschek,Behrens,3,5
Kubitschek,Veigel,3,5
Kubitschek,LVerlag,3,5
Kubitschek,Bannon,3,5
Kubitschek,Grass,17,5
Kubitschek,Kalbitz,3,5
Kubitschek,Gauland,3,5
Kubitschek,von Waldstein,3,5
Kubitschek,Pirinicci,3,5
Kubitschek,Herfurth,17,5
