id,name,sex,type,age
Kubitschek,Goetz Kubitschek,2,1,5
NR,Neue Rechte,99,2,99
IFS,Institut für Staatspolitik,99,2,99
VerlagA,Verlag Antaios,99,2,99
SZS,Sezession,99,2,99
SZSDE,Sezession im Netz,99,2,99
KSA,Konservativ-subversive Aktion,99,2,99
EPL,Ein Prozent fuer unser Land,99,2,99
IBDE,Identitaere Bewegung Deutschland,99,2,99
Hoecke,Bjoern Hoecke,2,1,5
DG,Deutsche Gildenschaft,99,2,99
JF,Junge Freiheit,99,2,99
BUW,Bundeswehr,99,2,99
Weissmann,Karlheinz Weissmann,2,1,5
Stein,Dieter Stein,2,1,5
Lichtmesz,Martin Lichtmesz,2,1,5
Kleine-Hartlage,Manfred Kleine-Hartlage,2,1,5
DS,Deutsche Stimme,99,2,99
NPD,Nationaldemokratische Partei Deutschlands,99,2,99
Schimmer,Arne Schimmer,2,1,5
DRB,Die Republikaner (Rechtspartei),99,2,99
FPOE,Freiheitliche Partei Oesterreichs,99,2,99
AFD,Alternative für Deutschland,99,2,99
Poggenburg,Andre Poggenburg,2,1,5
Menzel,Felix Menzel,2,1,4
ZT,zwischentags,99,2,99
Elsaesser,Juergen Elsaesser,2,1,6
PEGIDA,PEGIDA,99,2,99
CP,Compact,99,2,99
Salvini,Mateo Salvini,1,1,5
LR,Lega Rom,99,2,99
CPO,CasaPound,99,2,99
Schachtschneider,Karl Albrecht Schachtschneider,1,1,6
Sellner,Martin Sellner,2,1,3
PAPL,Patriotische Plattform,99,2,99
Tillschneider,Hans Thomas Tillschneider,1,1,5
Munier,Dieter Munier,1,1,6
LUSR,Lesen und Schenken,99,2,99
JLO,Jungen Landsmannschaft Ostpreussen,99,2,99
DB,Deutsche Burschenschaft,99,2,99
DBM,Burschenschaft Danubia München,99,2,99
BTP,Burschenschaft Teutonia Prag,Na,2,99
Paulwitz,Michael Paulwitz,2,1,5
ARVerlag,Ares-Verlag,99,2,99
Kositza,Ellen Kositza,1,1,5
Riefenstahl,Leni Riefenstahl,1,1,7
Hoffmann,Karl Heinz Hoffmann,2,1,7
Schmitt,Carl Schmitt,2,1,7
Lehnert,Erik Lehnert,2,1,5
Meuthen,Joerg Meuthen,2,1,5
UB,Urburschenschaft,99,2,99
Wegner,Nils Wegner,2,1,99
Nolte,Ernst Nolte,2,1,7
Lucke,Bernd Lucke,2,1,5
Behrens,Bastian Behrens,2,1,99
Veigel,Wolfgang Veigel,2,1,99
LVerlag,Loci Verlag,99,2,99
Bannon,Steve Bannon,2,1,99
Grass,Guenter Grass,2,1,7
Kalbitz,Andreas Kalbitz,2,1,5
Gauland,Alexander Gauland,2,1,6
von Waldstein,Thor von Waldstein,2,1,5
Pirinicci,Akif Pirinicci,2,1,5
Herfurth,Mirella Herfurth,1,1,99
