from,to,relation,source
Altmieks,IBDE,9,2
Altmieks,HDJ,6,2
AR,EPL,3,2
AR,RF,3,2
Arppe,AFD,16,2
Arppe,Fiss,3,2
Augustin,AFD,10,2
Bystron,AFD,10,2
Bystron,PIN,3,2
Bystron,IBDE,3,2
Bystron,Weber,2,2
Classen,AR,11,2
NPD,DES,12,2
Elsaesser,CP,12,2
Elsaesser,SZS,3,2
Fiss,IBDE,15,2
Fiss,JN,16,2
Fiss,Augustin,3,2
Hilde,EPL,3,2
Hilde,CP,3,2
Hoecke,SUWA,6,2
Hoecke,AFD,10,2
Hoecke,IFS,3,2
Hoffgaard,AFD,2,2
Hoffgaard,IBDE,3,2
Homilius,CP,12,2
IBDE,KK,12,2
IBDE,AR,3,2
IBOE,EPL,3,2
IFS,SUWA,12,2
IFS,SZS,12,2
IFS,SZSDE,12,2
JF,IBDE,3,2
Weissmann,IFS,16,2
Kaupert,Sellner,3,2
Kaupert,MK,2,2
Kaupert,AFD,3,2
Kneller,AFD,10,2
Kneller,AR,3,2
Koschkar,AFD,10,2
Koschkar,PAPL,1,2
Koschkar,ARM,16,2
Koschkar,LEGIDA,1,2
Koschkar,Tillschneider,3,2
Koschkar,JA,1,2
Kubitschek,VerlagA,12,2
Kubitschek,Sellner,3,2
Kubitschek,IFS,5,2
Kubitschek,KSA,5,2
Kubitschek,SZS,11,2
Kubitschek,Kositza,3,2
Kubitschek,Weissmann,3,2
KV,CP,12,2
Lehnert,IFS,12,2
Lehnert,AFD,2,2
Lichert,IFS,2,2
Lichert,Sellner,3,2
Lichert,AFD,10,2
Lichert,MK,12,2
Lichert,Kubitschek,3,2
Magnitz,AFD,10,2
Magnitz,Schick,3,2
Magnitz,Teske,3,2
Magnitz,IBDE,3,2
Mandic,Koschkar,3,2
Mandic,AFD,10,2
Mandic,PP,1,2
Mandic,SASI,1,2
Mergard,AFD,10,2
MK,AFD,2,2
Muellerb,KK,11,2
Munier,LUSR,12,2
Munier,Zuendel,3,2
Noe,AR,12,2
Noe,Sellner,3,2
Noe,AFD,1,2
NPD,JN,2,2
Pettibone,DE,1,2
PI,IBDE,2,2
Poggenburg,IBDE,3,2
Poggenburg,AFD,16,2
PAPL,AFD,2,2
PAPL,IBDE,3,2
Schick,IBDE,1,2
Schick,AFD,16,2
Schleyer,DE,1,2
Schleyer,BNA,11,2
Schleyer,FPOE,16,2
Schmidt,AFD,10,2
Schmidt,NPD,16,2
Schmidt,IBDE,3,2
Sebbin,PI,5,2
Sellner,Schleyer,3,2
Sellner,DE,1,2
Sellner,VerlagA,11,2
Sellner,JF,3,2
Sellner,IFS,5,2
Sellner,Pettibone,3,2
Sellner,SZSDE,11,2
Sellner,CP,3,2
Sellner,Noe,3,2
Steina,JF,12,2
Steina,VerlagJE,12,2
Steinb,EPL,12,2
Steinb,Sellner,3,2
Steinke,AFD,10,2
Steinke,IBDE,1,2
Tassis,PP,1,2
Teske,AFD,10,2
Teske,Schick,3,2
Tillschneider,PP,1,2
Tillschneider,AFD,10,2
Tillschneider,PEGIDA,3,2
Tillschneider,IBDE,3,2
Wagner,IBDE,1,2
Weber,DES,11,2
Weissmann,JF,11,2
Weyel,Lehnert,3,2
Wychera,SZS,3,2
Wychera,IBDE,1,2
Zeilinger,IBDE,3,2
