id,name,sex,type,age
Altmieks,Nils Altmieks,2,1,3
Arppe,Holger Arppe,2,1,5
Augustin,Dennis Augustin,2,1,5
Bystron,Petr Bystron,2,1,5
Classen,Robin Classen,2,1,3
Elsaesser,Juergen Elsaesser,2,1,6
Fiss,Daniel Fiss,2,1,2
Hilde,Helge Hilde,2,1,NA
Hoecke,Bjoern Hoecke,2,1,5
Hoffgaard,Henning Hoffgaard,2,1,4
Homilius,Kai Homilius,2,1,5
Kaupert,Simon Kaupert,2,1,NA
Kneller,Maximilian Kneller,2,1,2
Koschkar,Felix Koschkar,2,1,3
Kositza,Ellen Kositza,1,1,5
Kubitschek,Goetz Kubitschek,2,1,5
Lehnert,Erik Lehnert,2,1,5
Lenart,Patrick Lenart,2,1,4
Lichert,Andreas Lichert,2,1,5
Magnitz,Frank Magnitz,2,1,6
Mandic,Dubravko Mandic,2,1,4
Mergard,Marvin Mergard,2,1,NA
Mueller,Mario Alexander Mueller,2,1,4
Munier,Dietmar Munier,2,1,6
Noe,Yannick Noe,2,1,NA
Pettibone,Brittany Pettibone,1,1,3
Poggenburg,Andre Poggenburg,2,1,5
Schick,Jonas Schick,2,1,NA
Schleyer,Alexander Schleyer,2,1,NA
Schmidt,Jan-Wenzel Schmidt,2,1,3
Sebbin,Daniel Sebbin,2,1,3
Sellner,Martin Sellner,2,1,3
Stein1,Dieter Stein,2,1,5
Stein2,Philip Stein,2,1,3
Steinke,Lars Steinke,2,1,2
Tassis,Alexander Tassis,2,1,5
Teske,Robert Teske,2,1,3
Tillschneider,Hans-Thomas Tillschneider,2,1,5
Wagner,Christian Wagner,2,1,NA
Weber,Eric Weber,2,1,5
Weissmann,Karlheinz Weissmann,2,1,5
Weyel,Harald Weyel,2,1,5
Willinger,Markus Willinger,2,1,3
Wychera,Alina Wychera,1,1,3
Zeilinger,Sebastian Zeilinger,2,1,4
Zuendel,Ernst Zuendel,2,1,6
IBDE,Identitaere Bewegung Deutschland,NA,2,NA
AFD,Alternative für Deutschland,NA,2,NA
AR,Arcadi,NA,2,NA
ARM,Arminia,NA,2,NA
BNA,Blaue Narzisse,NA,2,NA
CP,Compact,NA,2,NA
DE,Defend Europe,NA,2,NA
DES,Deutsche Stimme,NA,2,NA
DIG,Die identitaere Generation,NA,2,NA
EPL,Ein Prozent für unser Land,NA,2,NA
FPOE,Freiheitliche Partei Oesterreichs,NA,2,NA
HDJ,Heimattreue Deutsche Jugend,NA,2,NA
IBOE,Identitaere Bewegung Oesterreich,NA,2,NA
IFS,Institut für Staatspolitik,NA,2,NA
JA,Junge Alternative,NA,2,NA
VerlagJE,Jungeuropa Verlag,NA,2,NA
JF,Junge Freiheit,NA,2,NA
JN,Junge Nationalisten,NA,2,NA
KK,Kontra Kultur,NA,2,NA
KSA,Konservativ-subversive Aktion,NA,2,NA
KV,Kopp-Verlag,NA,2,NA
LEGIDA,LEGIDA,NA,2,NA
LUSR,Lesen und Schenken,NA,2,NA
MK,Mosaik Kommunikation,NA,2,NA
NPD,Nationaldemokratische Partei Deutschlands,NA,2,NA
PEGIDA,PEGIDA,NA,2,NA
PI,Pils Identitaer,NA,2,NA
PIN,PI News,NA,2,NA
PAPL,Patriotische Plattform,NA,2,NA
RF,Radikal feminin,NA,2,NA
SASI,Saxo-Silesia,NA,2,NA
SUWA,Sommer- und Winterakademie,NA,2,NA
SZS,Sezession,NA,2,NA
SZSDE,sezession.de,NA,2,NA
VerlagA,Verlag Antaois,NA,2,NA
