id,name,sex,type,age
AFD,Alternative fuer Deutschland,99,2,99
Altmieks,Nils Altmieks,2,1,3
AR,Arcadi,99,2,99
ARM,Arminia,99,2,99
Arppe,Holger Arppe,2,1,5
Augustin,Dennis Augustin,2,1,5
BNA,Blaue Narzisse,99,2,99
Bystron,Petr Bystron,2,1,5
Classen,Robin Classen,2,1,3
CP,Compact,99,2,99
DE,Defend Europe,99,2,99
DES,Deutsche Stimme,99,2,99
Elsaesser,Juergen Elsaesser,2,1,6
EPL,Ein Prozent fuer unser Land,99,2,99
Fiss,Daniel Fiss,2,1,2
FPOE,Freiheitliche Partei Oesterreichs,99,2,99
HDJ,Heimattreue Deutsche Jugend,99,2,99
Hilde,Helge Hilde,2,1,99
Hoecke,Bjoern Hoecke,2,1,5
Hoffgaard,Henning Hoffgaard,2,1,4
Homilius,Kai Homilius,2,1,5
IBDE,Identitaere Bewegung Deutschland,99,2,99
IBOE,Identitaere Bewegung Oesterreich,99,2,99
IFS,Institut fuer Staatspolitik,99,2,99
JA,Junge Alternative,99,2,99
JF,Junge Freiheit,99,2,99
JN,Junge Nationalisten,99,2,99
Kaupert,Simon Kaupert,2,1,99
KK,Kontra Kultur,99,2,99
Kneller,Maximilian Kneller,2,1,2
Koschkar,Felix Koschkar,2,1,3
Kositza,Ellen Kositza,1,1,5
KSA,Konservativsubversive Aktion,99,2,99
Kubitschek,Goetz Kubitschek,2,1,5
KV,KoppVerlag,99,2,99
LEGIDA,LEGIDA,99,2,99
Lehnert,Erik Lehnert,2,1,5
Lichert,Andreas Lichert,2,1,5
LUSR,Lesen und Schenken,99,2,99
Magnitz,Frank Magnitz,2,1,6
Mandic,Dubravko Mandic,2,1,4
Mergard,Marvin Mergard,2,1,99
MK,Mosaik Kommunikation,99,2,99
MuellerB,Mario Alexander Mueller,2,1,4
Munier,Dietmar Munier,2,1,6
Noe,Yannick Noe,2,1,99
NPD,Nationaldemokratische Partei Deutschlands,99,2,99
PAPL,Patriotische Plattform,99,2,99
PEGIDA,PEGIDA,99,2,99
Pettibone,Brittany Pettibone,1,1,3
PI,Pils Identitaer,99,2,99
PIN,PI News,99,2,99
Poggenburg,Andre Poggenburg,2,1,5
PP,Patriotische Plattform,99,2,99
RF,Radikal feminin,99,2,99
SASI,Saxo Silesia,99,2,99
Schick,Jonas Schick,2,1,99
Schleyer,Alexander Schleyer,2,1,99
Schmidt,Jan-Wenzel Schmidt,2,1,3
Sebbin,Daniel Sebbin,2,1,3
Sellner,Martin Sellner,2,1,3
SteinA,Dieter Stein,2,1,5
SteinB,Philip Stein,2,1,3
Steinke,Lars Steinke,2,1,2
SUWA,Sommer und Winterakademie,99,2,99
SZS,Sezession,99,2,99
SZSDE,sezessionde,99,2,99
Tassis,Alexander Tassis,2,1,5
Teske,Robert Teske,2,1,3
Tillschneider,Hans-Thomas Tillschneider,2,1,5
VerlagA,Verlag Antaois,99,2,99
VerlagJE,Jungeuropa Verlag,99,2,99
Wagner,Christian Wagner,2,1,99
WeberA,Eric Weber,2,1,5
Weissmann,Karlheinz Weissmann,2,1,5
Weyel,Harald Weyel,2,1,5
Willinger,Markus Willinger,2,1,3
Wychera,Alina Wychera,1,1,3
Zeilinger,Sebastian Zeilinger,2,1,4
Zuendel,Ernst Zuendel,2,1,6
