id,name,sex,type,age
AFD,Alternative für Deutschland,99,2,99
Ahnemueller,Jens Ahnemueller,2,1,5
Altmieks,Nils Altmieks,2,1,3
AR,Arcadi,99,2,99
ARM,Arminia,99,2,99
Arppe,Holger Arppe,2,1,5
ARVerlag,Aris Verlag,99,2,99
ASVerlag,Arktos Verlag,99,2,99
Augener,Nando Dragan Augener,2,1,99
Augustin,Dennis Augustin,2,1,5
Austin,Benjamin Austin,2,1,99
AUV,Aufbau Verlag,99,2,99
Bachmann,Lutz Bachmann,2,1,5
Bannon,Steve Bannon,2,1,99
BDK,Bibliothek des Konservatismus,99,2,99
Beckamp,Roger Beckamp,2,1,5
Behrens,Bastian Behrens,2,1,99
Bender,Justus Bender,2,1,4
Berg,HansJoachim Berg,2,1,6
BNA,Blaue Narzisse,99,2,99
BON,Boersenblatt News,99,2,99
Borrmann,Norbert Borrmann,2,1,99
Bosselmann,Heino Bosselmann,2,1,99
Bothe,Stefan Bothe,2,1,4
Braun,Christina Braun,1,1,99
Brodbeck,Moritz Brodbeck,2,1,99
BTP,Burschenschaft Teutonia Prag,Na,2,99
BUBL,Burschenschaftlichen Blaetter,99,2,99
Bussmann,Joel Bussmann,2,1,2
BUW,Bundeswehr,99,2,99
Bystron,Petr Bystron,2,1,5
Camus,Renaud Camus,2,1,6
Classen,Robin Classen,2,1,3
CP,Compact,99,2,99
CPO,CasaPound,99,2,99
DB,Deutsche Burschenschaft,99,2,99
DBM,Burschenschaft Danubia München,99,2,99
DE,Defend Europe,99,2,99
deBenoist,Alan de Benoist,2,1,6
DEC,Der Eckart,99,2,99
deMontherland,Henry de Montherland,2,1,7
DES,Deutsche Stimme,99,2,99
DG,Deutsche Gildenschaft,99,2,99
Dittmer,Melanie Dittmer,1,1,99
Dittus,Joerg Dittus,2,1,99
DiTullio,Domenico Di Tullio,2,1,5
Donavan,Jack Donavan,2,1,5
DRB,Die Republikaner ,99,2,99
DT,Die Tagesstimme,99,2,99
Duke,David Duke,2,1,6
EIF,eigentuemlich frei,99,2,99
EinsP,einprozentde,99,2,99
Elbin,Maximilian Elbin,2,1,1
Elsaesser,Juergen Elsaesser,2,1,6
EPL,Ein Prozent fuer unser Land,99,2,99
Eysseric,Pascal Eysseric,2,1,99
Faetke,Sebastian Faetke,2,1,4
Fernau,Joachim Fernau,2,1,99
Fiss,Daniel Fiss,2,1,2
FMagazin,FreilichMagazin,99,2,99
FPOE,Freiheitliche Partei Oesterreichs,99,2,99
FRB,FrankfurterBuchmesse,99,2,99
Gauland,Alexander Gauland,2,1,6
Gerber,Tony Gerber,2,1,4
Gerke,Tano Gerke,2,1,4
Gerlich,Siegfried Gerlich,2,1,5
Grass,Guenter Grass,2,1,7
Hackmann,Andreas Hackmann,2,1,99
Haerle,Carsten Haerle,2,1,5
HDJ,Heimattreue Deutsche Jugend,99,2,99
Heidegger,Hermann Heidegger,2,1,6
Herfurth,Mirella Herfurth,1,1,99
Hermann,Jonas Hermann,2,1,99
Hilde,Helge Hilde,2,1,99
Hinz,Thorsten Hinz,2,1,5
Hoecke,Bjoern Hoecke,2,1,5
Hoffgaard,Henning Hoffgaard,2,1,4
Hoffmann,Karl Heinz Hoffmann,2,1,7
Hohm,Jean Pascal Hohm,2,1,99
Hohmann,Martin Hohmann,2,1,6
Homilius,Kai Homilius,2,1,5
IBB,Identitaere Bewegung Brandenburg,99,2,99
IBDE,Identitaere Bewegung Deutschland,99,2,99
IBOE,Identitaere Bewegung Oesterreich,99,2,99
IFS,Institut fuer Staatspolitik,99,2,99
JA,Junge Alternative,99,2,99
Jaecker,Patrick Jaecker,2,1,99
JF,Junge Freiheit,99,2,99
JLO,Jungen Landsmannschaft Ostpreussen,99,2,99
JN,Junge Nationalisten,99,2,99
KaiserA,Boris T Kaiser,2,1,99
KaiserB,Benedikt Kaiser,2,1,4
Kalbitz,Andreas Kalbitz,2,1,5
Kaupert,Simon Kaupert,2,1,99
KAV,Karolinger Verlag,99,2,99
Kirchner,Oliver Kirchner,2,1,5
KK,Kontra Kultur,99,2,99
KleineHartlage,Manfred KleineHartlage,2,1,5
Kneller,Maximilian Kneller,2,1,2
Koenig,Enrico Koenig,2,1,99
Kohlmann,Martin Kohlmann,2,1,99
Koschkar,Felix Koschkar,2,1,4
Kositza,Ellen Kositza,1,1,5
Krebs,Pierre Krebs,2,1,99
KSA,Konservativsubversive Aktion,99,2,99
Kubitschek,Goetz Kubitschek,2,1,5
KV,KoppVerlag,99,2,99
Lange,Horst Lange,2,1,7
Lau,Mariam Lau,1,1,5
LEGIDA,LEGIDA,99,2,99
Lehnert,Erik Lehnert,2,1,5
Lichert,Andreas Lichert,2,1,5
Lichtmesz,Martin Lichtmesz,2,1,5
Lisson,Frank Lisson,2,1,5
LR,Lega Rom,99,2,99
Lucke,Bernd Lucke,2,1,5
