from,to,relation,source
Ahnemueller,AFD,10,3
Ahnemueller,IBDE,3,3
Ahnemueller,IBDE,4,3
Arppe,AFD,8,3
Arppe,IBDE,3,3
Arppe,IBDE,13,3
Austin,JA,10,3
Austin,IBDE,8,3
Beckamp,AFD,10,3
Beckamp,IBDE,3,3
Beckamp,IBDE,7,3
Bothe,AFD,99,3
Bothe,IBDE,3,3
Braun,AFD,10,3
Braun,IBDE,3,3
Brodbeck,JA,1,3
Brodbeck,IBDE,8,3
Bussmann,JA,10,3
Bussmann,IBDE,8,3
Bystron,AFD,9,3
Bystron,IBDE,3,3
Bystron,IBDE,4,3
Faetke,AFD,1,3
Faetke,IBDE,3,3
Faetke,IBDE,7,3
Haerle,AFD,10,3
Haerle,IBDE,3,3
Haerle,IBDE,4,3
Hohm,JA,1,3
Hohm,IBDE,8,3
Hohmann,AFD,9,3
Hohmann,IBDE,3,3
Jaecker,JA,1,3
Jaecker,IBDE,8,3
Kirchner,AFD,10,3
Kirchner,IBDE,3,3
Kirchner,IBDE,7,3
Koenig,AFD,8,3
Koenig,IBDE,3,3
Koenig,IBDE,7,3
Koschkar,JA,9,3
Koschkar,IBDE,8,3
Lichert,AFD,10,3
Lichert,IBDE,3,3
Lichert,IBDE,7,3
Maier,AFD,9,3
Maier,IBDE,3,3
Maier,IBDE,4,3
Mandic,AFD,1,3
Mandic,IBDE,3,3
Mandic,IBDE,7,3
Mandic,IBDE,13,3
Poggenburg,AFD,10,3
Poggenburg,IBDE,3,3
Poggenburg,IBDE,13,3
Pryzballa,AFD,10,3
Pryzballa,IBDE,3,3
Pryzballa,IBDE,4,3
Raepple,AFD,10,3
Raepple,IBDE,3,3
Tassis,AFD,99,3
Tassis,IBDE,3,3
Tassis,IBDE,4,3
Tillschneider,AFD,10,3
Tillschneider,IBDE,1,3
Tillschneider,IBDE,7,3
Ulbrich,AFD,10,3
Ulbrich,IBDE,3,3
Ulbrich,IBDE,4,3
WeberB,IBDE,3,3
WeberB,AFD,10,3
WenzelSchmidt,AFD,10,3
WenzelSchmidt,IBDE,3,3
WenzelSchmidt,IBDE,7,3
