id,name,sex,type,age
AFD,Alternative fuer Deutschland,99,2,99
Ahnemueller,Jens Ahnemueller,2,1,5
Arppe,Holger Arppe,2,1,5
Austin,Benjamin Austin,2,1,99
Beckamp,Roger Beckamp,2,1,5
Bothe,Stefan Bothe,2,1,4
Braun,Christina Braun,1,1,99
Brodbeck,Moritz Brodbeck,2,1,99
Bussmann,Joel Bussmann,2,1,2
Bystron,Petr Bystron,2,1,5
Faetke,Sebastian Faetke,2,1,4
Haerle,Carsten Haerle,2,1,5
Hohm,Jean Pascal Hohm,2,1,99
Hohmann,Martin Hohmann,2,1,6
IBDE,Identitaere Bewegung Deutschland,99,2,99
JA,Junge Alternative,99,2,99
Jaecker,Patrick Jaecker,2,1,99
Kirchner,Oliver Kirchner,2,1,5
Koenig,Enrico Koenig,2,1,99
Koschkar,Felix Koschkar,2,1,4
Lichtert,Andreas Lichtert,2,1,5
Maier,Jens Maier,2,1,5
Mandic,Dubravkco Mandic,2,1,4
Poggenburg,Andre Poggenburg,2,1,5
Pryzballa,Benjamin Pryzballa,2,1,4
Raepple,Stefan Raepple,2,1,4
Tassis,Alexander Tassis,2,1,5
Tillschneider,HansThomas Tillschneider,2,1,5
Ulbrich,Roland Ulbrich,2,1,5
WeberB,Ralph Weber,2,1,5
WenzelSchmidt,Jan Wenzel Schmidt,2,1,3
