id,name, sex,type,age
Kubitschek,Goetz Kubitschek,2,1,4
Weissmann,Karlheinz Weissmann,2,1,5
Menzel,Felix Menzel,2,1,4
Duke,David Duke,2,1,6
Krebs,Pierre Krebs,2,1,NA
Willinger,Markus Willinger,2,1,3
Gerber,Tony Gerber,2,1,4
Altmieks,Nils Altmieks,2,1,NA
Zeilinger,Sebastian Zeilinger,2,1,NA
Kohlmann,Martin Kohlmann,2,1,NA
Elbin,Maximilian Elbin,2,1,1
Schueller,Johannes Schueller,2,1,NA
Augener,Nando Dragan Augener,2,1,NA
Hackmann,Andreas Hackmann,2,1,NA
Schibblock,Gerold Schibblock,2,1,NA
Dittmer,Melanie Dittmer,1,1,NA
EPL,Ein Prozent fuer unser Land,NA,2,NA
SZS,Sezession,NA,2,NA
Lichtmesz,Markus Lichtmesz,2,1,NA
Ulbricht,Stefan Ulbricht,2,1,NA
JF,Junge Freiheit,NA,2,NA
Verlag A,Verlag Antaios,NA,2,NA
BNA,Blaue Narzisse,NA,2,NA
IBB,Identitaere Bewegung Brandenburg,NA,2,NA
AS Verlag,Arktos Verlag,NA,2,NA
IBDE,Identitaere Bewegung Deutschland,NA,2,NA
