id,name,sex,type,age
Altmieks,Nils Altmieks,2,1,
Arppe,Holger Arppe,2,1,
Augustin,Dennis Augustin,2,1,
Bystron,Petr Bystron,2,1,
Classen,Robin Classen,2,1,
Elsaesser,Jürgen Elsässer,2,1,
Fiss,Daniel Fiß,2,1,
Hilde,Helge Hilde,2,1,
Hoecke,Björn Höcke,2,1,
Hoffgaard,Henning Hoffgaard,2,1,
Homilius,Kai Homilius,2,1,
Kaupert,Simon Kaupert,2,1,
Kneller,Maximilian Kneller,2,1,
Koschkar,Felix Koschkar,2,1,
Kositza,Ellen Kositza,1,1,
Kubitschek,Goetz Kubitschek,2,1,
Lehnert,Erik Lehnert,2,1,
Lenart,Patrick Lenart,2,1,
Lichert,Andreas Lichert,2,1,
Magnitz,Frank Magnitz,2,1,
Mandic,Dubravko Mandic,2,1,
Mergard,Marvin Mergard,2,1,
Mueller,Mario Alexander Müller,2,1,
Munier,Dietmar Munier,2,1,
Noe,Yannick Noé,2,1,
Pettibone,Brittany Pettibone,1,1,
Poggenburg,André Poggenburg,2,1,
Schick,Jonas Schick,2,1,
Schleyer,Alexander Schleyer,2,1,
Schmidt,Jan-Wenzel Schmidt,2,1,
Sebbin,Daniel Sebbin,2,1,
Sellner,Martin Sellner,2,1,
Stein1,Dieter Stein,2,1,
Stein2,Philip Stein,2,1,
Steinke,Lars Steinke,2,1,
Tassis,Alexander Tassis,2,1,
Teske,Robert Teske,2,1,
Tillschneider,Hans-Thomas Tillschneider,2,1,
Wagner,Christian Wagner,2,1,
Weber,Eric Weber,2,1,
Weissmann,Karlheinz Weißmann,2,1,
Weyel,Harald Weyel,2,1,
Willinger,Markus Willinger,2,1,
Wychera,Alina Wychera,1,1,
Zeilinger,Sebastian Zeilinger,2,1,
Zuendel,Ernst Zündel,2,1,
IBDE,Identitäre Bewegung Deutschland,NA,2,
AFD,Alternative für Deutschland,NA,2,
AR,Arcadi,NA,2,
ARM,Arminia,NA,2,
BNA,Blaue Narzisse,NA,2,
CP,Compact,NA,2,
DE,Defend Europe,NA,2,
DES,Deutsche Stimme,NA,2,
DIG,Die identitäre Generation,NA,2,
EPL,Ein Prozent für unser Land,NA,2,
FPOE,Freiheitliche Partei Österreichs,NA,2,
HDJ,Heimattreue Deutsche Jugend,NA,2,
IBOE,Identitäre Bewegung Österreich,NA,2,
IFS,Institut für Staatspolitik,NA,2,
JA,Junge Alternative,NA,2,
JEV,Jung Europa Verlag,NA,2,
JF,Junge Freiheit,NA,2,
JN,Junge Nationaldemokraten,NA,2,
KK,Kontra Kultur,NA,2,
KSA,Konservativ-Subversive Aktion,NA,2,
KV,Kopp-Verlag,NA,2,
LEGIDA,LEGIDA,NA,2,
LUS,Lesen und Schenken,NA,2,
MK,Mosaik Kommunikation,NA,2,
NPD,Nationaldemokratische Partei Deutschlands,NA,2,
PEGIDA,PEGIDA,NA,2,
PI,Pils Identitär,NA,2,
PIN,PI News,NA,2,
PP,Patriotische Plattform,NA,2,
RF,Radikal feminin,NA,2,
SASI,Saxo-Silesia,NA,2,
SUWA,Sommer- und WInterakademie,NA,2,
SZS,Sezession,NA,2,
SZSde,sezession.de,NA,2,
Verlag A,Verlag Antaois,NA,2,
