id,name,sex,type,age
Schleyer,Alexander Schleyer,2,1,NA
Pettibone,Brittany Pettibone,1,1,3
Noe,Yannick Noé,2,1,NA
Hoecke,Bjoern Hoecke,2,1,5
Poggenburg,André Poggenburg,2,1,5
Kubitschek,Goetz Kubitschek,2,1,5
Bachmann,Lutz Bachmann,2,1,5
WBO,Wiener Burschenschaft Olympia,NA,2,NA
USBW,Universitaetssaengerschaft Barden zu Wien,NA,2,NA
BUBL,Burschenschaftlichen Blaetter,NA,2,NA
DE,Defend Europe,NA,2,NA
VerlagA,Verlag Antaois,NA,2,NA
JF,Junge Freiheit,NA,2,NA
IFS,Institut für Staatspolitik,NA,2,NA
SZSDE,sezession.de,NA,2,NA
CP,Compact,NA,2,NA
SZS,Sezession,NA,2,NA
EPL,Ein Prozent fuer unser Land,NA,2,NA
PEGIDA,PEGIDA,NA,2,NA
PE,Phalanx Europa,NA,2,NA
VI,Vlog Identitaer,NA,2,NA
