from,to,relation,source
DT,1P,14,4
DT,VerlagA,14,4
DT,AFD,14,4
AHA,DT,14,4
AHA,1P,14,4
AHA,VerlagA,14,4
AHA,IBDE,14,4
AHA,Sellner,14,4
1P,DT,14,4
1P,VerlagA,14,4
1P,IBDE,14,4
1P,AFD,14,4
VerlagA,DT,14,4
VerlagA,1P,14,4
VerlagA,Sellner,14,4
VerlagA,ASVerlag,14,4
VerlagJE,DT,14,4
VerlagJE,VerlagA,14,4
VerlagJE,IBDE,14,4
VerlagJE,Sellner,14,4
VerlagJE,ASVerlag,14,4
LG,1P,14,4
LG,VerlagA,14,4
LG,IBDE,14,4
LG,Sellner,14,4
DLF,VerlagA,14,4
DLF,IBDE,14,4
DLF,IBS,14,4
DLF,AFD,14,4
DLF,Sellner,14,4
DLF,ASVerlag,14,4
PP,1P,14,4
PP,VerlagA,14,4
PP,IBDE,14,4
PP,Sellner,14,4
SZSDE,DT,14,4
SZSDE,1P,14,4
SZSDE,VerlagA,14,4
SZSDE,AFD,14,4
SZSDE,Sellner,14,4
SZSDE,ASVerlag,14,4
PE,Sellner,14,4
JF,IBDE,14,4
JF,AFD,14,4
JF,Storch,14,4
120D,DT,14,4
120D,1P,14,4
120D,Sellner,14,4
DE,1P,14,4
DE,VerlagA,14,4
DE,IBDE,14,4
DE,IBS,14,4
DE,AFD,14,4
DE,Sellner,14,4
DE,Storch,14,4
DE,ASVerlag,14,4
ASVerlag,AHA,14,4
ASVerlag,VerlagA,14,4
ASVerlag,IBDE,14,4
ASVerlag,IBS,14,4
ASVerlag,Sellner,14,4
OM,DT,14,4
OM,AHA,14,4
OM,1P,14,4
OM,VerlagA,14,4
OM,IBDE,14,4
OM,AFD,14,4
OM,Sellner,14,4
GI,DT,14,4
GI,1P,14,4
GI,VerlagA,14,4
GI,IBDE,14,4
GI,IBS,14,4
GI,Sellner,14,4
KR,1P,14,4
KR,VerlagA,14,4
KR,IBDE,14,4
KR,IBS,14,4
KR,Sellner,14,4
KR,ASVerlag,14,4
EK,1P,14,4
EK,IBDE,14,4
EK,Sellner,14,4
AFD,Storch,14,4
CP,DT,14,4
CP,1P,14,4
CP,IBDE,14,4
CP,AFD,14,4
CP,Sellner,14,4
CP,Storch,14,4
IBS ,DT,14,4
IBS ,AHA,14,4
IBS ,1P,14,4
IBS ,VerlagA,14,4
IBS ,IBDE,14,4
IBS ,AFD,14,4
IBS ,Sellner,14,4
IBDE,DT,14,4
IBDE,AHA,14,4
IBDE,1P,14,4
IBDE,VerlagA,14,4
IBDE,IBS,14,4
IBDE,AFD,14,4
IBDE,Sellner,14,4
IBDE,Storch,14,4
IBDE,ASVerlag,14,4
Naggert,DT,14,4
Naggert,1P,14,4
Naggert,VerlagA,14,4
Naggert,IBDE,14,4
Naggert,IBS,14,4
Pettibone,Sellner,14,4
Quinn,1P,14,4
Quinn,VerlagA,14,4
Quinn,IBDE,14,4
Quinn,Sellner,14,4
Engeser,DT,14,4
Engeser,AHA,14,4
Engeser,1P,14,4
Engeser,VerlagA,14,4
Engeser,IBDE,14,4
Engeser,IBS,14,4
Engeser,AFD,14,4
