from,to,relation,source
DT,1P,14,4
DT,VerlagA,14,4
DT,AFD,14,4
DT,VerlagJE,14,4
AHA,DT,14,4
AHA,1P,14,4
AHA,VerlagA,14,4
AHA,IBDE,14,4
AHA,Sellner,14,4
AHA,VerlagJE,14,4
AHA,Camus,14,4
AHA,Fiss,14,4
1P,DT,14,4
1P,VerlagA,14,4
1P,IBDE,14,4
1P,AFD,14,4
1P,VerlagJE,14,4
1P,Meuthen,14,4
VerlagA,DT,14,4
VerlagA,1P,14,4
VerlagA,Sellner,14,4
VerlagA,ASVerlag,14,4
VerlagA,VerlagJE,14,4
VerlagJE,DT,14,4
VerlagJE,VerlagA,14,4
VerlagJE,IBDE,14,4
VerlagJE,Sellner,14,4
VerlagJE,ASVerlag,14,4
VerlagJE,Camus,14,4
VerlagJE,Gerber,14,4
VerlagJE,Hoffgaard,14,4
VerlagJE,Kerbl,14,4
LG,1P,14,4
LG,VerlagA,14,4
LG,IBDE,14,4
LG,Sellner,14,4
LG,VerlagJE,14,4
LG,Schunke,14,4
LG,Hoffgaard,14,4
LG,Southern,14,4
LG,Kerbl,14,4
DLF,VerlagA,14,4
DLF,IBDE,14,4
DLF,IBS,14,4
DLF,AFD,14,4
DLF,Sellner,14,4
DLF,ASVerlag,14,4
DLF,VerlagJE,14,4
DLF,Camus,14,4
DLF,Schunke,14,4
DLF,Alderson,14,4
DLF,Hoffgaard,14,4
DLF,Pettibone,14,4
DLF,Southern,14,4
PP,1P,14,4
PP,VerlagA,14,4
PP,IBDE,14,4
PP,Sellner,14,4
PP,VerlagJE,14,4
PP,Pettibone,14,4
PP,Fiss,14,4
PP,Meuthen,14,4
SZSDE,DT,14,4
SZSDE,1P,14,4
SZSDE,VerlagA,14,4
SZSDE,AFD,14,4
SZSDE,Sellner,14,4
SZSDE,ASVerlag,14,4
SZSDE,VerlagJE,14,4
SZSDE,Meuthen,14,4
PE,Sellner,14,4
JF,IBDE,14,4
JF,AFD,14,4
JF,Storch,14,4
JF,Hoffgaard,14,4
JF,Meuthen,14,4
120D,DT,14,4
120D,1P,14,4
120D,Sellner,14,4
120D,Pettibone,14,4
DE,1P,14,4
DE,VerlagA,14,4
DE,IBDE,14,4
DE,IBS,14,4
DE,AFD,14,4
DE,Sellner,14,4
DE,Storch,14,4
DE,ASVerlag,14,4
DE,VerlagJE,14,4
DE,Camus,14,4
DE,Gerber,14,4
DE,Schunke,14,4
DE,Alderson,14,4
DE,Hoffgaard,14,4
DE,Pettibone,14,4
DE,Southern,14,4
DE,Kerbl,14,4
ASVerlag,AHA,14,4
ASVerlag,VerlagA,14,4
ASVerlag,IBDE,14,4
ASVerlag,IBS,14,4
ASVerlag,Sellner,14,4
ASVerlag,VerlagJE,14,4
ASVerlag,Camus,14,4
ASVerlag,Schunke,14,4
ASVerlag,Pettibone,14,4
ASVerlag,Southern,14,4
ASVerlag,Kerbl,14,4
OM,DT,14,4
OM,AHA,14,4
OM,1P,14,4
OM,VerlagA,14,4
OM,IBDE,14,4
OM,AFD,14,4
OM,Sellner,14,4
OM,VerlagJE,14,4
OM,Pettibone,14,4
