from,to,relation,source
DT,1P,14,4
DT,VerlagA,14,4
DT,AFD,14,4
DT,VerlagJE,14,4
DT,SZSDE,14,4
DT,JF,14,4
DT,120D,14,4
DT,OM,14,4
DT,CP,14,4
DT,Kaiser,14,4
DT,Lenart,14,4
DT,Lichtmesz,14,4
DT,SteinB,14,4
AHA,DT,14,4
AHA,1P,14,4
AHA,VerlagA,14,4
AHA,IBDE,14,4
AHA,Sellner,14,4
AHA,VerlagJE,14,4
AHA,Camus,14,4
AHA,Fiss,14,4
AHA,LG,14,4
AHA,SZSDE,14,4
AHA,JF,14,4
AHA,OM,14,4
AHA,CP,14,4
AHA,Kaiser,14,4
AHA,Wegner,14,4
AHA,Lenart,14,4
AHA,Fiss,14,4
AHA,Malenki,14,4
AHA,Lichtmesz,14,4
AHA,SteinB,14,4
1P,DT,14,4
1P,VerlagA,14,4
1P,IBDE,14,4
1P,AFD,14,4
1P,VerlagJE,14,4
1P,Meuthen,14,4
1P,LG,14,4
1P,SZSDE,14,4
1P,PE,14,4
1P,JF,14,4
1P,120D,14,4
1P,CP,14,4
1P,Kaiser,14,4
1P,Wegner,14,4
1P,Quinn,14,4
1P,Markovics,14,4
1P,Thaler,14,4
1P,Malenki,14,4
1P,SteinB,14,4
VerlagA,DT,14,4
VerlagA,1P,14,4
VerlagA,Sellner,14,4
VerlagA,ASVerlag,14,4
VerlagA,VerlagJE,14,4
VerlagA,LG,14,4
VerlagA,SZSDE,14,4
VerlagA,PE,14,4
VerlagA,DE,14,4
VerlagA,Wegner,14,4
VerlagA,Markovics,14,4
VerlagA,Lichtmesz,14,4
VerlagA,SteinB,14,4
VerlagJE,DT,14,4
VerlagJE,VerlagA,14,4
VerlagJE,IBDE,14,4
VerlagJE,Sellner,14,4
VerlagJE,ASVerlag,14,4
VerlagJE,Camus,14,4
VerlagJE,Gerber,14,4
VerlagJE,Hoffgaard,14,4
VerlagJE,Kerbl,14,4
VerlagJE,LG,14,4
VerlagJE,SZSDE,14,4
VerlagJE,PE,14,4
VerlagJE,JF,14,4
VerlagJE,EK,14,4
VerlagJE,CP,14,4
VerlagJE,Huemer,14,4
VerlagJE,Kaiser,14,4
VerlagJE,Wegner,14,4
VerlagJE,Quinn,14,4
VerlagJE,Engeser,14,4
VerlagJE,Berit,14,4
VerlagJE,Lenart,14,4
VerlagJE,Hintsteiner,14,4
VerlagJE,Markovics,14,4
VerlagJE,Weiss,14,4
VerlagJE,Fiss,14,4
VerlagJE,Rudolph,14,4
VerlagJE,Thaler,14,4
VerlagJE,Malenki,14,4
VerlagJE,Lichtmesz,14,4
VerlagJE,SteinB,14,4
LG,1P,14,4
LG,VerlagA,14,4
LG,IBDE,14,4
LG,Sellner,14,4
LG,VerlagJE,14,4
LG,Schunke,14,4
LG,Hoffgaard,14,4
LG,Southern,14,4
LG,Kerbl,14,4
LG,SZSDE,14,4
LG,JF,14,4
LG,EK,14,4
LG,CP,14,4
LG,Kaiser,14,4
LG,Wegner,14,4
LG,Quinn,14,4
LG,Berit,14,4
LG,Weiss,14,4
LG,Winterfeldt,14,4
LG,Thaler,14,4
