id,name,sex,type,age
DT,Die Tagesstimme ,99,2,99
AHA,Aha!,99,2,99
1P,einprozent.de,99,2,99
VerlagA,Verlag Antaios,99,2,99
VerlagJE,Jungeuropa Verlag,99,2,99
LG,Laut Gedacht,99,2,99
DLF,Das Leuchtfeuer,99,2,99
PP,Patriot Peer,99,2,99
SZSDE,Sezession im Netz,99,2,99
PE,Phalanx Europa,99,2,99
JF,Junge Freiheit,99,2,99
120D,120Dezibel,99,2,99
DE,Defend Europe,99,2,99
ASVerlag,Arktos Verlag,99,2,99
OM,Okzident Media,99,2,99
GI,Generation Identitaer,99,2,99
KR,Konservative Revolution,99,2,99
EK,European Kitchen,99,2,99
AFD,Alternative fuer Deutschland ,99,2,99
CP,Compact,99,2,99
IBS,Identitaere Bewegung Schwaben,99,2,99
IBDE,Identitaere Bewegung Deutschland,99,2,99
Naggert,Kai Alexander Naggert,2,1,99
Pettibone,Brittany Pettibone,1,1,3
Quinn,John D Quinn,2,1,99
Engeser,Sven Engeser,2,1,99
Berit,Franziska Berit,1,1,2
Lenart,Patrick Lenart,2,1,4
Hintsteiner,Edwin Hintsteiner,2,1,3
Markovics,Alexander Markovics,2,1,99
Huemer,Philipp Huemer,2,1,3
Rudolph,Jonathan Rudolph,2,1,2
Winterfeldt,Paula Winterfeldt,1,1,99
Southern,Lauren Southern,1,1,2
Thaler,Philip Thaler,2,1,2
Malenki,"Alexander ""Malenki"" Kleine",2,1,3
Camus,Renaud Camus,2,1,6
Lichtmesz,Martin Lichtmesz,2,1,5
Storch,Beatrix von Storch,1,1,5
SteinB,Philip Stein,2,1,3
Hoffgaard,Henning Hoffgaard,2,1,99
Fiss,Daniel Fiss,2,1,2
Weiss,Ingrid Weiss,1,1,2
Sellner,Martin Sellner,2,1,3
Meuthen,Prof. Dr. Joerg Meuthen,2,1,5
Wegner,Nils Wegner,2,1,4
Kaiser,Benedikt Kaiser,2,1,4
Alderson,Alexander Alderson,2,1,99
Kerbl,Luca Kerbl,2,1,3
Schunke,Anabel Schunke,1,1,4
Gerber,Tony Gerber,2,1,4
