from,to,relation,source
Tillschneider,AFD,10,
Bystron,AFD,9,
Poggenburg,AFD,10,
Hohmann,AFD,9,
Braun,AFD,10,
Raepple,AFD,10,
Weber,AFD,10,
Bothe,AFD,99,
Ahnemueller,AFD,10,
Pryzballa,AFD,10,
Ulbrich,AFD,10,
Maier,AFD,9,
Tassis,AFD,99,
Haerle,AFD,10,
Arppe,AFD,8,
Lichtert,AFD,10,
Beckamp,AFD,10,
WenzelSchmidt,AFD,10,
Faetke,AFD,1,
Mandic,AFD,1,
Kirchner,AFD,10,
Koenig,AFD,8,
Tillschneider,IBDE,1,
Tillschneider,IBDE,7,
Bystron,IBDE,3,
Bystron,IBDE,4,
Poggenburg,IBDE,3,
Poggenburg,IBDE,13,
Hohmann,IBDE,3,
Braun,IBDE,3,
Raepple,IBDE,3,
Weber,IBDE,3,
Bothe,IBDE,3,
Ahnemueller,IBDE,3,
Ahnemueller,IBDE,4,
Pryzballa,IBDE,3,
Pryzballa,IBDE,4,
Ulbrich,IBDE,3,
Ulbrich,IBDE,4,
Maier,IBDE,3,
Maier,IBDE,4,
Tassis,IBDE,3,
Tassis,IBDE,4,
Haerle,IBDE,3,
Haerle,IBDE,4,
Arppe,IBDE,3,
Arppe,IBDE,13,
Lichtert,IBDE,3,
Lichtert,IBDE,7,
Beckamp,IBDE,3,
Beckamp,IBDE,7,
WenzelSchmidt,IBDE,3,
WenzelSchmidt,IBDE,7,
Faetke,IBDE,3,
Faetke,IBDE,7,
Mandic,IBDE,3,
Mandic,IBDE,7,
Mandic,IBDE,13,
Kirchner,IBDE,3,
Kirchner,IBDE,7,
Koenig,IBDE,3,
Koenig,IBDE,7,
