id,name,sex,type,age
AFD,Alternative für Deutschland,NA,2,NA
IBDE,Identitäre Bewegung Deutschland,NA,2,NA
Tillschneider,Hans-Thomas Tillschneider,2,1,5
Bystron,Petr Bystron,2,1,5
Poggenburg,André Poggenburg,2,1,5
Hohmann,Martin Hohmann,2,1,6
Braun,Christina Braun,1,1,NA
Raepple,Stefan Raepple,2,1,4
Weber,Ralph Weber,2,1,5
Bothe,Stefan Bothe,2,1,4
Ahnemueller,Jens Ahnemueller,2,1,5
Pryzballa,Benjamin Pryzballa,2,1,4
Ulbrich,Roland Ulbrich,2,1,5
Maier,Jens Maier,2,1,5
Tassis,Alexander Tassis,2,1,5
Haerle,Carsten Haerle,2,1,5
Arppe,Holger Arppe,2,1,5
Lichtert,Andreas Lichtert,2,1,5
Beckamp,Roger Beckamp,2,1,5
WenzelSchmidt,Jan Wenzel Schmidt,2,1,3
Faetke,Sebastian Faetke,2,1,4
Mandic,Dubravkco Mandic,2,1,4
Kirchner,Oliver Kirchner,2,1,5
Koenig,Enrico Koenig,2,1,NA
