from,to,relation,source
VerlagA,VerlagA,14,4
VerlagA,Tillschneider,14,4
VerlagA,RING,14,4
VerlagA,Bystron,14,4
VerlagA,Bosselmann,14,4
VerlagA,Stegemann,14,4
VerlagA,Oery,14,4
VerlagA,Tichy,14,4
VerlagA,Novak,14,4
VerlagA,FMagazin,14,4
VerlagA,Berg,14,4
VerlagA,EIF,14,4
VerlagA,Poensgen,14,4
VerlagA,WOA,14,4
VerlagA,BDK,14,4
VerlagA,Yilmaz,14,4
VerlagA,Lusinchi,14,4
VerlagA,Eysseric,14,4
VerlagA,REE,14,4
VerlagA,BON,14,4
VerlagA,FRB,14,4
VerlagA,Bender,14,4
VerlagA,Lau,14,4
VerlagA,Hermann,14,4
VerlagA,Serrao,14,4
VerlagA,M,14,4
VerlagA,Scheil,14,4
VerlagA,1P,14,4
VerlagA,Gerke,14,4
VerlagA,Dittus,14,4
VerlagA,Wessels,14,4
VerlagA,MAN,14,4
VerlagA,Hoecke,14,4
VerlagA,DT,14,4
VerlagA,DE,14,4
VerlagA,Pasemann,14,4
VerlagA,Raskolnikow,14,4
VerlagA,Stieferle,14,4
VerlagA,Rheinberger,14,4
VerlagA,Kaiser1,14,4
VerlagA,Sellner,14,4
VerlagA,RVE,14,4
VerlagA,Michel,14,4
VerlagA,RLV,14,4
VerlagA,Stein,14,4
VerlagA,DEC,14,4
VerlagA,AUV,14,4
VerlagA,VEE,14,4
VerlagA,ARVerlag,14,4
VerlagA,VerlagJE,14,4
VerlagA,Kaiser2,14,4
VerlagA,Wegner,14,4
VerlagA,ASVerlag,14,4
VerlagA,RGV,14,4
VerlagA,SZSDE,14,4
VerlagA,IFS,18,5
VerlagA,ARVerlag,18,5
VerlagA,CP,18,5
VerlagA,VerlagJE,18,5
VerlagA,KAV,18,5
VerlagA,MANU,18,5
VerlagA,RGV,18,5
VerlagA,QKR,18,5
VerlagA,VBUB,18,5
VerlagA,BNA,18,5
deBenoist,VerlagA,11,5
Borrmann,VerlagA,11,5
Camus,VerlagA,11,5
DiTullio,VerlagA,11,5
Donavan,VerlagA,11,5
Fernau,VerlagA,11,5
Gerlich,VerlagA,11,5
Heidegger,VerlagA,11,5
Hinz,VerlagA,11,5
Kaiser2,VerlagA,11,5
Kleine-Hartlage,VerlagA,11,5
Kositza,VerlagA,11,5
Kubitschek,VerlagA,5,5
Kubitschek,VerlagA,12,5
Kubitschek,VerlagA,11,5
Lange,VerlagA,11,5
Lehnert,VerlagA,11,5
Lichtmesz,VerlagA,11,5
Lisson,VerlagA,11,5
Menzel,VerlagA,11,5
Millet,VerlagA,11,5
Mohler,VerlagA,11,5
Mohr,VerlagA,11,5
deMontherland,VerlagA,11,5
Mueller1,VerlagA,11,5
Mueller2,VerlagA,11,5
Nolte,VerlagA,11,5
Pirinçci,VerlagA,11,5
Raspail,VerlagA,11,5
Scheil,VerlagA,11,5
Schleyer,VerlagA,11,5
Scholdt,VerlagA,11,5
Schueßlburner,VerlagA,11,5
Sellner,VerlagA,11,5
Sieferle,VerlagA,11,5
Sommerfeld,VerlagA,11,5
Thalheim,VerlagA,11,5
Ulfkotte,VerlagA,11,5
Vonderach,VerlagA,11,5
vonWaldstein,VerlagA,11,5
Weißmann,VerlagA,11,5
Willms,VerlagA,11,5
Zehm,VerlagA,11,5
