id,name,sex,type,age
ARVerlag,Ares Verlag,99,2,99
ASVerlag,Arktos Verlag,99,2,99
AUV,Aufbau Verlag,99,2,99
BDK,Bibliothek des Konservatismus,99,2,99
Bender,Justus Bender,2,1,4
Berg,HansJoachim Berg,2,1,6
BNA,Blaue Narzisse,99,2,99
BON,Boersenblatt News,99,2,99
Borrmann,Norbert Borrmann,2,1,99
Bosselmann,Heino Bosselmann,2,1,99
Bystron,Petr Bystron,2,1,5
Camus,Renaud Camus,2,1,6
CP,Compact,99,2,99
DE,Defend Europe,99,2,99
deBenoist,Alan de Benoist,2,1,6
DEC,Der Eckart,99,2,99
deMontherland,Henry de Montherland,2,1,7
Dittus,Joerg Dittus,2,1,99
DiTullio,Domenico Di Tullio,2,1,5
Donavan,Jack Donavan,2,1,5
DT,Die Tagesstimme,99,2,99
EIF,eigentuemlich frei,99,2,99
EinsP,einprozentde,99,2,99
Eysseric,Pascal Eysseric,2,1,99
Fernau,Joachim Fernau,2,1,99
FMagazin,FreilichMagazin,99,2,99
FRB,FrankfurterBuchmesse,99,2,99
Gerke,Tano Gerke,2,1,4
Gerlich,Siegfried Gerlich,2,1,5
Heidegger,Hermann Heidegger,2,1,6
Hermann,Jonas Hermann,2,1,99
Hinz,Thorsten Hinz,2,1,5
Hoecke,Bjoern Hoecke,2,1,5
IFS,Institut für Staatspolitik,99,2,99
KaiserA,Boris T Kaiser,2,1,99
KaiserB,Benedikt Kaiser,2,1,4
KAV,Karolinger Verlag,99,2,99
KleineHartlage,Manfred KleineHartlage,2,1,5
Kositza,Ellen Kositza,1,1,5
Kubitschek,Goetz Kubitschek,2,1,5
Lange,Horst Lange,2,1,7
Lau,Mariam Lau,1,1,5
Lehnert,Erik Lehnert,2,1,5
Lichtmesz,Martin Lichtmesz,2,1,5
Lisson,Frank Lisson,2,1,5
Lusinchi,Patrick Lusinchi,2,1,99
M,Fanziska M,1,1,99
MAN,Magazin Anbruch,99,2,99
MANU,Manuscriptum,99,2,99
Menzel,Felix Menzel,2,1,4
Michel,Albin Michel,99,2,99
Millet,Richard Millet,2,1,6
Mohler,Armin Mohler,2,1,7
Mohr,Volker Mohr,2,1,5
MuellerA,Baal Mueller,2,1,5
MuellerB,Mario Mueller,2,1,4
Nolte,Ernst Nolte,2,1,6
Novak,Arndt Novak,2,1,99
Oery,Mariann Oery,1,1,99
Pasemann,Frank Pasemann,2,1,5
Pirincci,Akif Pirincci,2,1,5
Poensgen,Johannes Konstantin Poensgen,2,1,99
QKR,Quelltexte zur KR,99,2,99
Raskolnikow,Raskolnikow,99,99,99
Raspail,Jean Raspail,2,1,6
REE,revue elements,99,2,99
RGV,Regin Verlag,99,2,99
Rheinberger,Franz Rheinberger,2,1,99
RING,RING,99,2,99
RLV,Robert Laffont Verlag,99,2,99
RVE,RenovamenVerlag,99,2,99
Scheil,Stefan Scheil,2,1,5
Schleyer,Alexander Schleyer,2,1,4
Scholdt,Guenter Scholdt,2,1,6
Schuesslburner,Josef Schuesslburner,2,1,6
Sellner,Martin Sellner,2,1,3
Serrao,Marc Felix Serrao,2,1,99
Sieferle,Rolf Peter Sieferle,2,1,6
Sommerfeld,Caroline Sommerfeld,1,1,5
Stegemann,Bernd Stegemann,2,1,99
SteinB,Philip Stein,2,1,3
Stieferle,Regina Stieferle,1,1,99
SZSDE,Sezession im Netz,99,2,99
Thalheim,Raoul Thalheim,2,1,99
Tichy,Roland Tichy,2,1,6
Tillschneider,HansThomas Tillschneider,2,1,5
Ulfkotte,Udo Ulfkotte,2,1,7
VBU,Verlag Bublies,99,2,99
VEE,Verteidiger Europas,99,2,99
VerlagA,Verlag Antaios,99,2,99
VerlagJE,Jungeuropa Verlag,99,2,99
Vonderach,Andreas Vonderach,2,1,5
vonWaldstein,Thor von Waldstein,2,1,5
Wegner,Nils Wegner,2,1,99
Weissmann,Karlheinz Weißmann,2,1,5
Wessels,TillLucas Wessels,2,1,3
Willms,Bernard Willms,2,1,7
WOA,wochenblickat,99,2,99
Yilmaz,Kemal Cem Yilmaz,2,1,99
Zehm,Guenter Zehm,2,1,6
