id,name,sex,type,age
VerlagA,Verlag Antaios,NA,2,NA
Tillschneider,Hans-Thomas Tillschneider,2,1,5
RING,RING,NA,2,NA
Bystron,Petr Bystron,2,1,5
Bosselmann,Heino Bosselmann,2,1,NA
Stegemann,Bernd Stegemann,2,1,NA
Oery,Mariann Oery,1,1,NA
Tichy,Roland Tichy,2,1,6
Novak,Arndt Novak,2,1,NA
FMagazin,Freilich-Magazin,NA,2,NA
Berg,Hans-Joachim Berg,2,1,6
EIF,eigentümlich frei,NA,2,NA
Poensgen,Johannes Konstantin Poensgen,2,1,NA
WOA,wochenblick.at,NA,2,NA
BDK,Bibliothek des Konservatismus,NA,2,NA
Yilmaz,Kemal Cem Yilmaz,2,1,NA
Lusinchi,Patrick Lusinchi,2,1,NA
Eysseric,Pascal Eysseric,2,1,NA
REE,revue éléments,NA,2,NA
BON,Boersenblatt News,NA,2,NA
FRB,FrankfurterBuchmesse,NA,2,NA
Bender,Justus Bender,2,1,4
Lau,Mariam Lau,1,1,5
Hermann,Jonas Hermann,2,1,NA
Serrao,Marc Felix Serrao,2,1,NA
M,Fanziska M,1,1,NA
1P,einprozent.de,NA,2,NA
Gerke,Tano Gerke,2,1,4
Dittus,Joerg Dittus,2,1,NA
Wessels,Till-Lucas Wessels,2,1,3
MAN,Magazin Anbruch,NA,2,NA
Hoecke,Bjoern Hoecke,2,1,5
DT,Die Tagesstimme,NA,2,NA
DE,Defend Europe,NA,2,NA
Pasemann,Frank Pasemann,2,1,5
Raskolnikow,Raskolnikow,NA,NA,NA
Stieferle,Regina Stieferle,1,1,NA
Rheinberger,Franz Rheinberger,2,1,NA
Kaiser1,Boris T Kaiser,2,1,NA
RVE,Renovamen-Verlag,NA,2,NA
Michel,Albin Michel,NA,2,NA
RLV,Robert Laffont Verlag,NA,2,NA
Stein,Philip Stein,2,1,3
DEC,Der Eckart,NA,2,NA
AUV,Aufbau Verlag,NA,2,NA
VEE,Verteidiger Europas,NA,2,NA
ARVerlag,Ares Verlag,NA,2,NA
VerlagJE,Jungeuropa Verlag,NA,2,NA
Kaiser2,Benedikt Kaiser,2,1,4
Wegner,Nils Wegner,2,1,NA
ASVerlag,Arktos Verlag,NA,2,NA
RGV,Regin Verlag,NA,2,NA
SZSDE,Sezession im Netz,NA,2,NA
IFS,Institut für Staatspolitik,NA,2,NA
CP,Compact,NA,2,NA
KAV,Karolinger Verlag,NA,2,NA
MANU,Manuscriptum,NA,2,NA
QKR,Quelltexte zur KR,NA,2,NA
VBU,Verlag Bublies,NA,2,NA
BNA,Blaue Narzisse,NA,2,NA
EJF,Edition Junge Freiheit,NA,2,NA
deBenoist,Alan de Benoist,2,1,6
Borrmann,Norbert Borrmann,2,1,NA
Camus,Renaud Camus,2,1,6
DiTullio,Domenico Di Tullio,2,1,5
Donavan,Jack Donavan,2,1,5
Fernau,Joachim Fernau,2,1,NA
Gerlich,Siegfried Gerlich,2,1,5
Heidegger,Hermann Heidegger,2,1,6
Hinz,Thorsten Hinz,2,1,5
Kleine-Hartlage,Manfred Kleine-Hartlage,2,1,5
Kositza,Ellen Kositza,1,1,5
Kubitschek,Goetz Kubitschek,2,1,5
Lange,Horst Lange,2,1,7
Lehnert,Erik Lehnert,2,1,5
Lichtmesz,Martin Lichtmesz,2,1,5
Lisson,Frank Lisson,2,1,5
Menzel,Felix Menzel,2,1,4
Millet,Richard Millet,2,1,6
Mohler,Armin Mohler,2,1,7
Mohr,Volker Mohr,2,1,5
deMontherland,Henry de Montherland,2,1,7
Mueller1,Baal Mueller,2,1,5
Mueller2,Mario Mueller,2,1,4
Nolte,Ernst Nolte,2,1,6
Pirinçci,Akif Pirinçci,2,1,5
Raspail,Jean Raspail,2,1,6
Scheil,Stefan Scheil,2,1,5
Schleyer,Alexander Schleyer,2,1,4
Scholdt,Guenter Scholdt,2,1,6
Schueßlburner,Josef Schueßlburner,2,1,6
Sellner,Martin Sellner,2,1,3
Sieferle,Rolf Peter Sieferle,2,1,6
Sommerfeld,Caroline Sommerfeld,1,1,5
Thalheim,Raoul Thalheim,2,1,NA
Ulfkotte,Udo Ulfkotte,2,1,7
Vonderach,Andreas Vonderach,2,1,5
vonWaldstein,Thor von Waldstein,2,1,5
Weißmann,Karlheinz Weißmann,2,1,5
Willms,Bernard Willms,2,1,7
Zehm,Guenter Zehm,2,1,6
