id,name,sex,type,age
Sellner,Martin Sellner,1,1,3
Schleyer,Alexander Schleyer,2,1,99
Pettibone,Brittany Pettibone,1,1,3
Noe,Yannick Noé,2,1,99
Hoecke,Bjoern Hoecke,2,1,5
Poggenburg,André Poggenburg,2,1,5
Kubitschek,Goetz Kubitschek,2,1,5
Bachmann,Lutz Bachmann,2,1,5
WBO,Wiener Burschenschaft Olympia,99,2,99
USBW,Universitaetssaengerschaft Barden zu Wien,99,2,99
BUBL,Burschenschaftlichen Blaetter,99,2,99
DE,Defend Europe,99,2,99
VerlagA,Verlag Antaois,99,2,99
JF,Junge Freiheit,99,2,99
IFS,Institut für Staatspolitik,99,2,99
SZSDE,sezession.de,99,2,99
CP,Compact,99,2,99
SZS,Sezession,99,2,99
EPL,Ein Prozent fuer unser Land,99,2,99
PEGIDA,PEGIDA,99,2,99
PE,Phalanx Europa,99,2,99
VI,Vlog Identitaer,99,2,99
