id,name,sex,"type
","age
"
Bachmann,Lutz Bachmann,2,1,5
BUBL,Burschenschaftlichen Blaetter,99,2,99
CP,Compact,99,2,99
DE,Defend Europe,99,2,99
EPL,Ein Prozent fuer unser Land,99,2,99
Hoecke,Bjoern Hoecke,2,1,5
IFS,Institut fuer Staatspolitik,99,2,99
JF,Junge Freiheit,99,2,99
Kubitschek,Goetz Kubitschek,2,1,5
Noe,Yannick Noe,2,1,99
PE,Phalanx Europa,99,2,99
PEGIDA,PEGIDA,99,2,99
Pettibone,Brittany Pettibone,1,1,3
Poggenburg,Andre Poggenburg,2,1,5
Schleyer,Alexander Schleyer,2,1,99
Sellner,Martin Sellner,2,1,3
SZS,Sezession,99,2,99
SZSDE,sezessionde,99,2,99
USBW,Universitaetssaengerschaft Barden zu Wien,99,2,99
VerlagA,Verlag Antaois,99,2,99
VI,Vlog Identitaer,99,2,99
WBO,Wiener Burschenschaft Olympia,99,2,99
